Namn,Postadress,Sprit,Vin,Starköl,AJA,ALP,Serveringstider
Havslyckan,Parapeten 1,,,,,,11:00—01:00 11:00—01:00 01:00—03:00 11:00—01:00 11:00—01:00
Helsingborg Arena Restaurang,Mellersta Stenbocksgatan 14,,,,,,11:00—01:00 11:00—00:00
Helsingborgen,Furutorpsgatan 47,,,,,,11:00—03:00 11:00—00:30
Helsingborgs stadsteater,Karl Johans gata 1,,,,,,11:00—01:00 11:00—02:00 11:00—00:00 11:00—00:00 12:00—00:00
Helsingörskajen 10,Helsingörskajen 10,,,,,,11:00—01:00 11:00—00:00
Home Hotel Grand Helsingborg,Stortorget 8-12,,,,,,11:00—03:00 11:00—01:00 11:00—01:00
Hotel Linnéa,Prästgatan 4,,,,,,10:00—00:00 07:00—10:00
Hotell Stadsparken,Bruksgatan 40,,,,,,12:00—00:00 12:00—22:00
Hygge Restaurang & Bar,Sundstorget 5,,,,,,11:00—01:00 11:00—00:30 00:30—01:00
Hålan,Billeplatsen 1,,,,,,11:00—03:00 11:00—00:30
Hörnet,Roskildegatan 2,,,,,,11:00—01:00 11:00—00:30 11:00—01:00
Icha Mochi,Hjälmhultsgatan 8,,,,,,11:00—23:00 11:00—23:00
Icha Mochi City AB,Sundstorget 1-3,,,,,,11:00—03:00 11:00—01:00 11:00—01:00
Il Mio Ristorante,Kungsgatan 2,,,,,,11:00—23:00 12:00—01:00 11:00—23:00 12:00—00:30
Indian Zayka,Bruksgatan 25,,,,,,11:00—00:00 11:00—00:00
Italy Espresso House,Bruksgatan 30,,,,,,11:00—22:00 11:00—00:00
K- Gränd,Kolmätaregränden 7,,,,,,11:00—01:00 11:00—00:30
Kajgatan 1,Kajgatan 1,,,,,,11:00—01:00
Khai & Mui,Kaliforniegatan 13,,,,,,11:00—01:00 11:00—00:30
Kings Corner,Drottninggatan 1,,,,,,11:00—01:00 01:00—03:00 11:00—01:00
Kol & Cocktails,Södra storgatan 11-13,,,,,,11:00—03:00 11:00—01:00 11:00—00:30
Koreana,Bruksgatan 30,,,,,,10:30—23:00 10:30—23:00
Krogen Wallåkra,Drejarestigen,,,,,,11:00—01:00 11:00—01:00
Kryp In Café Vinbar,Mariagatan 4,,,,,,11:00—01:00 11:00—00:30
Kök 74,Drottninggatan 74,,,,,,11:30—23:00
Köket,Sjögatan 1,,,,,,15:00—00:00 15:00—00:00
Laserdome,Södergatan 6,,,,,,11:00—01:00
Lilla Bruket Tågaborg,Tågagatan 31,,,,,,10:00—23:00 10:00—22:00
Lilla spanjoren,Kullagatan 60,,,,,,11:00—01:00
